Jhimruk River Hydrology Data													
Daily Discharge m3/sec													
													
F.Y.: 2051/52													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1		0.000	40.99	12.67	7.65	6.35	5.22	4.45	3.27	2.85		8.69	122.630
2		0.000	45.03	17.78	8.23	6.66	4.54	4.04	3.33	2.65		7.31	
3		0.000	68.41	17.80	7.83	6.83	4.43	5.28	2.76	2.40		13.78	
4		0.000	54.74	13.95	8.72	6.78	4.32	5.60	2.84	2.32		15.52	
5		0.000	50.26	10.18	7.47	6.46	4.17	4.97	2.89	2.45		18.00	
6		0.000	42.36	10.16	7.45	6.29	4.41	4.98	2.89	2.20		27.14	
7		107.37	42.32	10.14	7.23	6.39	4.79	4.65	2.89	1.99		20.67	
8		112.01	38.82	10.09	7.51	6.20	4.75	4.57	2.89	1.98		50.36	
9		120.50	35.54	10.14	7.99	6.18	4.84	4.60	2.79	2.20		42.60	
10		103.69	33.45	10.65	7.88	6.37	5.23	4.46	2.89	2.02		46.18	
11		101.91	31.75	11.02	8.02	5.98	4.82	5.42	2.87	1.94		42.93	
12		86.82	31.16	12.12	7.99	5.88	5.34	5.36	2.87	1.96		39.02	
13		97.56	27.20	11.82	7.99	6.40	4.65	5.11	2.42	Irrigation use		38.82	
14		72.11	27.01	11.62	7.77	5.95	5.03	4.98	2.87			55.33	
15		66.94	25.46	11.68	7.19	5.53	5.63	4.89	2.87			50.31	
16		62.21	26.51	11.13	8.02	5.86	4.88	3.17	2.75			39.49	
17		55.33	26.90	12.44	7.85	5.85	4.82	4.30	2.84			50.14	
18		48.52	27.48	12.38	6.84	5.77	4.83	4.23	2.77			59.32	
19		46.29	26.99	10.42	4.97	5.74	4.64	4.22	2.77			44.70	
20		47.68	25.56	8.12	7.41	5.71	4.48	4.15	2.71			35.49	
21		42.71	23.72	8.09	7.42	5.61	4.58	4.46	2.71			29.92	
22		41.41	18.52	7.42	8.15	5.57	4.38	4.12	2.54			30.79	
23		35.72	17.97	9.19	7.76	5.47	4.37	4.02	2.63			28.62	
24		37.44	17.95	10.16	7.44	6.25	4.54	2.60	2.77			36.84	
25		64.84	17.84	8.85	7.21	7.20	4.36	4.13	2.77			35.65	
26		47.36	17.78	10.12	7.23	6.46	4.33	3.93	2.77			122.63	
27		63.94	17.84	9.06	7.08	6.46	4.48	3.78	2.77			79.47	
28		59.51	17.78	8.70	7.07	4.78	4.43	3.64	2.77			67.16	
29		46.19	17.94	8.60	6.35	7.23	4.24	3.56	2.71			61.52	
30		44.26	17.87	8.49		6.21		3.53	2.74			57.05	
31		38.80	17.72									57.87	
32												63.35	
													
F.Y.: 2052/53													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	93.46	108.60	53.80	12.49	8.98	6.59	6.31	7.48	4.73	2.37	0.42	14.03	119.300
2	98.37	96.91	53.80	11.35	8.49	6.59	11.04	7.38	4.82	2.29	0.79	7.23	
3	97.67	109.77	41.18	11.91	8.37	6.93	7.95	6.55	4.44	2.60	0.78	14.09	
4	80.83	119.30	38.90	12.67	8.22	6.75	7.23	6.53	5.05	2.76	1.09	7.02	
